Highest Offense Description,Highest Offense Code,Zip Code,frequency
IDENTITY THEFT,4022,78728,32
ATT AUTO THEFT,701,78758,32
THEFT OF METAL,619,78617,32
INJURY TO CHILD,2011,78729,32
APPLIC TO REVOKE PROBATION,4003,78748,32
CHILD ENDANGERMENT- ABANDONMEN,2010,78735,32
URINATING IN PUBLIC PLACE,3212,78759,32
AGG ROBBERY/DEADLY WEAPON,300,78735,32
FORGERY BY MAKING,1003,78754,32
FRAUD-CARD SKIMMER,1112,78758,32
THEFT OF BICYCLE,609,78613,32
IMMIGRATION HOLD/ARREST,4200,78753,32
THEFT-NO SUSPECT/FOLLOWUP,600,78723,32
HARASSMENT OF A PUBLIC SERVANT,2731,78704,32
POSS OF ALCOHOL - AGE 17 TO 20,2209,78751,32
EXPLOSIVE ORDNANCE DISPOSAL,1505,78759,32
VIOL OF COURT ORDER-NON EPO-PO,2008,78735,32
DAMAGE CITY PROP,3817,78729,32
POSS OF ALCOHOL - AGE 17 TO 20,2209,78750,32
BURGLARY OF VEH-NO SUSPECT/FU,601,78739,32
INJURY TO CHILD (CARE/CUSTODY),2011,78750,32
COUNTERFEITING,1006,78750,31
INJ TO ELDERLY   FAM/DATE VIOL,2012,78759,31
DUI - AGE 17 TO 20,2107,78748,31
OBTAIN CONTROLLED SUB BY FRAUD,1808,78729,31
FALSE STATEMENT -OBTAIN CREDIT,1105,78752,31
DOC OFFENSIVE GESTURE,2402,78745,31
TAMPERING WITH GOV RECORD,2904,78704,31
HARASSMENT ONLINE,2732,78753,31
ARSON,800,78751,31
FORGERY BY ALTERATION,1001,78759,31
POSS CONTROLLED SUB/NARCOTIC,1800,78728,31
NUISANCE ABATEMENT,1824,78701,31
DUMPING REFUSE NEAR HIGHWAY,3306,78704,31
LIQUOR LAW VIOLATION/OTHER,2208,78731,31
POSS OF DRUG PARAPHERNALIA,1818,78613,31
FALSE STATEMENT -OBTAIN CREDIT,1105,78748,31
APPLIC TO REVOKE PROBATION,4003,78754,31
AGG ASSAULT FAM/DATE VIOLENCE,402,78717,31
AGG ASSAULT WITH MOTOR VEH,406,78749,31
BURGLARY OF VEH-NO SUSPECT/FU,601,78736,31
RECKLESS DAMAGE,1401,78703,31
VIOL CITY ORDINANCE - DOG,3200,78750,31
TAMPERING WITH EVIDENCE,2903,78721,31
OBTAIN CONTROLLED SUB BY FRAUD,1808,78750,31
TOBACCO VIOL - AGE 17,2608,78701,31
DOC DISCHARGE GUN - PUB PLACE,2408,78701,31
VIOL CITY ORDINANCE - DOG,3200,78751,31
FAMILY DISTURBANCE,3400,78664,31
VIOL CITY ORDINANCE - WRECKER,3720,78727,31
DWI - DRUG RECOGNITION EXPERT,2103,78705,31
POSS/PROMO CHILD PORNOGRAPHY,2605,78748,31
VIOL OF EMERG PROTECTIVE ORDER,3008,78751,31
VIOL STATE LAW - OTHER,3399,78735,31
VIOL CITY ORDINANCE - WRECKER,3720,78722,31
DEADLY CONDUCT,408,78750,31
FORGERY - OTHER,1099,78717,31
POSSESSION OF MARIJUANA,1803,78736,31
DRIVING WHILE INTOX / FELONY,2109,78756,31
AGG RAPE OF A CHILD,206,78752,31
SEXUAL ASSAULT OF CHILD/OBJECT,1707,78751,31
UNLAWFUL RESTRAINT,2805,78753,31
SEXUAL ASSAULT OF CHILD/OBJECT,1707,78754,31
AGG RAPE OF A CHILD,206,78702,31
INDECENCY WITH CHILD/EXPOSURE,1710,78702,31
SEXUAL ASSAULT OF CHILD/OBJECT,1707,78727,31
SEXUAL ASSAULT W/ OBJECT,1700,78727,31
SEXUAL ASSAULT OF CHILD/OBJECT,1707,78759,31
TAMPERING WITH EVIDENCE,2903,78723,31
LITTERING,3216,78727,31
PROWLER,3414,78748,31
PUBLIC LEWDNESS,1705,78753,31
ASSAULT BY CONTACT,902,78730,31
RESISTING ARREST OR SEARCH,905,78748,31
UNLAWFUL RESTRAINT FAM/DAT VIO,2805,78758,31
CRED CARD ABUSE - OTHER,1106,78653,31
HARASSMENT ONLINE,2732,78744,30
SEXUAL ASSAULT OF CHILD/OBJECT,1707,78617,30
RAPE OF A CHILD,204,78702,30
INVASIVE VISUAL RECORDING,2609,78748,30
DOC OFFENSIVE GESTURE,2402,78758,30
DOC EXPOSURE,2411,78748,30
KIDNAPPING,2800,78753,30
TERRORISTIC THREAT-FAM/DAT VIO,2704,78735,30
MAIL THEFT,8503,78756,30
HARASSMENT OF A PUBLIC SERVANT,2731,78753,30
POSS CONTROLLED SUB/OTHER,1802,78749,30
INJURY TO ELDERLY PERSON,2012,78744,30
MAIL THEFT,8503,78736,30
POSS OF ALCOHOL-AGE 16 & UNDER,2200,78701,30
POSS CONTROLLED SUB/OTHER,1802,78746,30
POSS OF PROHIBITED WEAPON,1503,78759,30
INHALANT ABUSE,1821,78702,30
POSS OF PROHIBITED WEAPON,1503,78748,30
INTER EMERG PHONECALL FAM/DATE,2712,78723,30
VIOL OF COURT ORDER-NON EPO-PO,2008,78747,30
ASSAULT BY CONTACT,902,78739,30
ASSAULT BY THREAT FAM/DATING,901,78705,30
TOBACCO VIOL - UNDER AGE 17,2607,78752,30
DISTURBANCE - OTHER,3401,78712,30
DOC OFFENSIVE GESTURE,2402,78704,30
THEFT BY EMBEZZLEMENT,1200,78758,30
LITTERING,3216,78748,30
HARASSMENT ONLINE,2732,78758,30
THEFT OF TRAILER,613,78717,30
FRAUD DESTRUCTION OF A WRITING,1007,78752,30
FORGERY BY ALTERATION,1001,78752,30
CHILD ENDANGERMENT- ABANDONMEN,2010,78717,30
BURGLARY OF COIN-OP MACHINE,602,78727,30
VIOL CITY ORDINANCE - CURFEW,3213,78727,30
FALSE STATEMENT -OBTAIN CREDIT,1105,78723,30
ASSAULT BY THREAT FAM/DATING,901,78735,30
BREACH OF COMPUTER SECURITY,1109,78746,30
ASSAULT BY CONTACT FAM/DATING,902,78739,30
RESISTING ARREST OR SEARCH,905,78751,30
MAKING TOBACCO AVAIL TO MINOR,2606,78741,30
INTER EMERG PHONECALL FAM/DATE,2712,78702,30
DWI - CHILD PASSENGER,2108,78721,30
VOCO AMPLIFIED MUSIC/VEHICLE,3218,78660,30
CRIMINAL MISCHIEF,1400,78733,30
EVADING / FOOT,2723,78727,30
POSS OF PROHIBITED WEAPON,1503,78719,30
POSS SYNTHETIC MARIJUANA,1825,78744,30
POSS OF PROHIBITED WEAPON,1503,78751,30
HARBORING RUNAWAY CHILD,2005,78741,30
RESISTING ARREST OR SEARCH,905,78724,30
THEFT BY SHOPLIFTING,607,78747,30
THEFT BY EMBEZZLEMENT,1200,78745,30
HINDER SECURED CREDITORS,2907,78745,30
FALSE STATEMENT -OBTAIN CREDIT,1105,78759,30
GAMBLING,1900,78721,30
RECKLESS DAMAGE,1401,78731,30
OBTAIN CONTROLLED SUB BY FRAUD,1808,78727,30
CRIMINAL MISCHIEF BY ARSON,802,78745,30
THEFT FROM PERSON,610,78727,29
VOCO SOLICITATION PROHIBIT,3296,78750,29
NUISANCE ABATEMENT,1824,78758,29
TAMPERING WITH GOV RECORD,2904,78753,29
PROWLER,3414,78705,29
FAMILY DISTURBANCE/PARENTAL,3458,78742,29
INDECENCY WITH CHILD/EXPOSURE,1710,78750,29
DEPENDENT AND NEGLECTED CHILD,2006,78744,29
AGG RAPE OF A CHILD,206,78724,29
FAILURE TO REG AS SEX OFFENDER,1799,78752,29
SEXUAL ASSAULT W/ OBJECT,1700,78749,29
AGG RAPE OF A CHILD,206,78704,29
APPLIC TO REVOKE PROBATION,4003,78759,29
INVASIVE VISUAL RECORDING,2609,78745,29
INDECENCY WITH CHILD/EXPOSURE,1710,78723,29
AGG ASLT STRANGLE/SUFFOCATE,410,78746,29
ASSAULT WITH INJURY,900,78728,29
FAMILY DISTURBANCE/PARENTAL,3458,78725,29
AGG ASLT W/MOTOR VEH FAM/DAT V,406,78724,29
INJURY TO ELDERLY PERSON,2012,78757,29
ONLINE IMPERSONATION,2733,78749,29
AGG ASSAULT FAM/DATE VIOLENCE,402,78660,29
IMPERSONATING PUBLIC SERVANT,2905,78744,29
ASSAULT BY THREAT FAM/DATING,901,78722,29
CAMPING IN PARK,3214,78722,29
BURG OF RES - FAM/DATING ASLT,500,78724,29
UNLAWFUL CARRYING WEAPON,1500,78754,29
RESISTING ARREST OR SEARCH,905,78759,29
INJURY TO CHILD,2011,78750,29
UNLAWFUL CARRYING WEAPON,1500,78729,29
CIVIL DISTURBANCE/DEMO,3402,78701,29
BREACH OF COMPUTER SECURITY,1109,78726,29
EXPIRED-EVADING ARREST,2708,78702,29
FORGERY BY ALTERATION,1001,78757,29
EVADING / FOOT,2723,78617,29
TERRORISTIC THREAT-FAM/DAT VIO,2704,78726,29
BURGLARY OF VEHICLE,601,78664,29
BREACH OF COMPUTER SECURITY,1109,78735,29
DWI - CHILD PASSENGER,2108,78748,29
FORGERY BY MAKING,1003,78735,29
ROBBERY BY THREAT,305,78729,29
INJ TO DISABLED  FAM/DATE VIOL,2013,78741,29
GAMBLING,1900,78757,29
LITTERING,3216,78757,29
PROTECTIVE ORDER,3829,78717,29
SIT AND LIE ORDINANCE VIOL,3295,78702,29
DRIVING WHILE INTOX / FELONY,2109,78735,29
DOC ABUSIVE LANGUAGE,2401,78751,29
APPLIC TO REVOKE PROBATION,4003,78757,29
CRASH/FAIL STOP AND RENDER AID,3604,78728,29
PURSE SNATCHING,606,78753,29
FORGERY BY MAKING,1003,78726,29
ATT BURGLARY OF RESIDENCE,501,78723,29
ASSAULT BY CONTACT FAM/DATING,902,78613,29
THEFT OF SERVICE,608,78742,29
DRIVING WHILE INTOX / FELONY,2109,78746,29
RECKLESS DAMAGE,1401,78724,29
INTERFERENCE PUBLIC DUTIES,3397,78753,29
THEFT FROM PERSON,610,78756,29
DATING DISTURBANCE,2400,78730,29
INJURY DISABLED INDIVIDUAL,2013,78757,29
DWI  .15 BAC OR ABOVE,2111,78729,29
AGG ASLT ENHANC STRANGL/SUFFOC,411,78748,28
THEFT OF AUTO PARTS,604,78719,28
FALSE STATEMENT -OBTAIN CREDIT,1105,78702,28
INJURY TO ELDERLY PERSON,2012,78753,28
THEFT FROM AUTO,603,78613,28
DRIVING WHILE INTOX / FELONY,2109,78717,28
FALSE ALARM OR REPORT,2700,78705,28
INJURY TO CHILD (CARE/CUSTODY),2011,78617,28
VIOL CITY ORDINANCE - WRECKER,3720,78746,28
CRIMINAL MISCHIEF BY ARSON,802,78704,28
TOBACCO VIOL - AGE 17,2608,78702,28
DAMAGE CITY PROP,3817,78725,28
BOMB THREAT,2701,78744,28
THEFT OF HEAVY EQUIPMENT,612,78744,28
FORGERY BY ALTERATION,1001,78704,28
POSSESSION OF MARIJUANA,1803,78739,28
THEFT- APPROPRIATE STOLEN PROP,1300,78741,28
THEFT OF TRAILER,613,78701,28
INJURY TO ELDERLY PERSON,2012,78752,28
THEFT FROM AUTO,603,78736,28
WARRANT ARREST NON TRAFFIC,3442,78728,28
TOBACCO VIOL - AGE 17,2608,78753,28
DOC DISCHARGE GUN - PUB ROAD,2410,78741,28
DOC FIGHTING,2406,78759,28
INJURY TO CHILD (CARE/CUSTODY),2011,78754,28
DEADLY CONDUCT,408,78751,28
POSS OF ALCOHOL - AGE 17 TO 20,2209,78724,28
FALSE REPORT TO PEACE OFFICER,2902,78748,28
ILLEGAL LABELLING OF RECORDING,1011,78741,28
THEFT OF METAL,619,78750,28
PROBATION VIOL,3114,78704,28
ARSON,800,78749,28
DUI - AGE 17 TO 20,2107,78727,28
DOC EXPOSURE,2411,78749,28
CRIMINAL MISCHIEF BY ARSON,802,78753,28
FORGERY BY MAKING,1003,78756,28
THEFT OF SERVICE,608,78739,28
ASSAULT BY THREAT FAM/DATING,901,78717,28
AGG ASSAULT ON PUBLIC SERVANT,403,78753,28
VIOL OF PARK CURFEW,3217,78724,28
FORGERY - OTHER,1099,78660,28
AGG ASSAULT WITH MOTOR VEH,406,78705,28
TERRORISTIC THREAT-FAM/DAT VIO,2704,78717,28
THEFT FROM PERSON,610,78731,28
FAILURE TO REG AS SEX OFFENDER,1799,78704,28
AGG RAPE,202,78758,28
DISCLOSE/PROMO INTIMATE VISUAL,2610,78744,28
INVASIVE VISUAL RECORDING,2609,78759,28
DWI 2ND,2102,78719,28
UNLAWFUL RESTRAINT FAM/DAT VIO,2805,78753,28
MURDER,100,78702,28
ASSAULT BY CONTACT,902,78742,28
DEADLY CONDUCT,408,78729,28
MAIL THEFT,8503,78722,28
DEL MARIJUANA,1807,78701,28
TERRORISTIC THREAT-FAM/DAT VIO,2704,78722,28
FORGERY - OTHER,1099,78735,28
ASSAULT  CONTACT-SEXUAL NATURE,902,78729,27
KIDNAPPING,2800,78758,27
SEXUAL ASSAULT W/ OBJECT,1700,78617,27
AGG SEXUAL ASSAULT CHILD/OBJEC,1712,78617,27
POSS/PROMO CHILD PORNOGRAPHY,2605,78757,27
AGG ASSAULT FAM/DATE VIOLENCE,402,78746,27
FALSE ALARM OR REPORT,2700,78751,27
UNLAWFUL RESTRAINT FAM/DAT VIO,2805,78745,27
INDECENT EXPOSURE,1706,78756,27
POSS OF DRUG PARAPHERNALIA,1818,78726,27
PUBLIC LEWDNESS,1705,78745,27
DEADLY CONDUCT,408,78731,27
PROBATION VIOL,3114,78745,27
CHILD ENDANGERMENT- ABANDONMEN,2010,78746,27
CRUELTY TO ANIMALS,2717,78747,27
DOC DISCHARGE GUN - PUB PLACE,2408,78759,27
DOC OFFENSIVE GESTURE,2402,78702,27
BURGLARY OF VEH-NO SUSPECT/FU,601,78617,27
THEFT FROM BUILDING,617,78722,27
THEFT OF METAL,619,78725,27
DOC DISCHARGE GUN - PUB PLACE,2408,78757,27
MURDER,100,78745,27
THEFT OF BICYCLE,609,78736,27
EVADING / VEHICLE PURSUIT,2728,78751,27
BURGLARY OF VEHICLE,601,78737,27
FELONY ENHANCEMENT/ASSLT W/INJ,909,78735,27
AUTO THEFT,700,78653,27
POSS OF ALCOHOL-AGE 16 & UNDER,2200,78744,27
NUISANCE ABATEMENT,1824,78745,27
ROBBERY BY ASSAULT,303,78750,27
DEADLY CONDUCT,408,78749,27
GRAFFITI,1402,78754,27
POSS OF FIREARM BY FELON,1502,78757,27
ARSON,800,78757,27
VIOL STATE LAW - OTHER,3399,78747,27
CIVIL DISTURBANCE/DEMO,3402,78759,27
FEDERAL VIOL/OTHER,4205,78748,27
POSS OF DRUG PARAPHERNALIA,1818,78660,27
THEFT OF SERVICE,608,78736,27
FELONY ENHANCEMENT/ASSLT W/INJ,909,78705,27
AGG ASSAULT,402,78736,27
INTERFERENCE PUBLIC DUTIES,3397,78741,27
EVADING / VEHICLE PURSUIT,2728,78759,27
ATT BURGLARY OF RESIDENCE,501,78758,27
FRAUD-CARD SKIMMER,1112,78749,27
VOCO AMPLIFIED MUSIC/VEHICLE,3218,78746,27
BREACH OF COMPUTER SECURITY,1109,78751,27
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,504,78660,27
THEFT OF TRAILER,613,78747,27
CRIMINAL MISCHIEF-NO SUSPECT,1400,78748,27
DOC UNREASONABLE NOISE,2405,78727,27
ROBBERY BY THREAT,305,78724,27
THEFT FROM BUILDING,617,78617,27
FORGERY AND PASSING,1000,78652,27
POSS CONTROLLED SUB/SYN NARC,1801,78759,27
VIOL OF PROTECTIVE ORDER,3009,78725,27
TAKE WEAPON FRM POLICE OFFICER,409,78701,27
CRIMINAL TRESPASS/TRANSIENT,2721,78750,27
DUI - AGE 17 TO 20,2107,78751,27
AGG ROBBERY/DEADLY WEAPON,300,78747,27
DOC UNREASONABLE NOISE,2405,78731,27
OBTAIN CONTROLLED SUB BY FRAUD,1808,78757,27
EVADING / VEHICLE PURSUIT,2728,78748,27
ASSAULT ON PUBLIC SERVANT,903,78748,26
DAMAGE CITY VEHICLE,3832,78723,26
VIOL CITY ORDINANCE - DOG,3200,78754,26
DWI  .15 BAC OR ABOVE,2111,78726,26
TRAFFICKING OF PERSONS,4199,78741,26
WEAPON VIOL - OTHER,1504,78758,26
SEXUAL ASSAULT W/ OBJECT,1700,78729,26
DEPENDENT AND NEGLECTED CHILD,2006,78753,26
AGG ASSAULT,402,78725,26
BREACH OF COMPUTER SECURITY,1109,78729,26
INTER EMERG PHONECALL FAM/DATE,2712,78748,26
PROMOTION OF PROSTITUTION,1601,78753,26
DEL CONTROLLED SUB/SYN NARC,1805,78752,26
EVADING VEHICLE,2724,78727,26
ASSAULT BY THREAT FAM/DATING,901,78756,26
THEFT FROM PERSON,610,78719,26
ROBBERY BY THREAT,305,78731,26
ONLINE IMPERSONATION,2733,78746,26
ROBBERY BY THREAT,305,78749,26
DOC ABUSE OR THREAT,2404,78758,26
ENGAGING IN ORGANIZED CRIME,3000,78754,26
CRIMINAL MISCHIEF-NO SUSPECT,1400,78702,26
THEFT- APPROPRIATE STOLEN PROP,1300,78758,26
ASSAULT ON PUBLIC SERVANT,903,78703,26
PROBATION VIOL,3114,78753,26
HARASSMENT OF A PUBLIC SERVANT,2731,78758,26
CRIMINAL TRESPASS/TRANSIENT,2721,78749,26
GRAFFITI,1402,78739,26
NUISANCE ABATEMENT,1824,78752,26
DOC DISCHARGE GUN - PUB PLACE,2408,78617,26
SOLICITATION - BEGGING,2501,78731,26
SMUGGLING ILLEGAL ALIEN,4204,78741,26
PUBLIC LEWDNESS,1705,78731,26
THEFT OF AUTO PARTS,604,78660,26
VOCO - ALCOHOL  CONSUMPTION,3211,78731,26
FELONY ENHANCEMENT/ASSLT W/INJ,909,78756,26
DEL CONTROLLED SUB/NARCOTIC,1804,78722,26
POSS DANG DRUG,1810,78724,26
CRIMINAL MISCHIEF-NO SUSPECT,1400,78757,26
DUI - AGE 17 TO 20,2107,78731,26
FORGERY BY MAKING,1003,78746,26
INDECENT ASSAULT,1724,78753,26
VOCO SOLICITATION PROHIBIT,3296,78660,26
CRIMINAL TRESPASS/TRANSIENT,2721,78735,26
CIVIL DISTURBANCE/DEMO,3402,78721,26
DWI,2100,78732,26
HARASSMENT ONLINE,2732,78759,26
TERRORISTIC THREAT-FAM/DAT VIO,2704,78731,26
FAMILY DISTURBANCE/PARENTAL,3458,78730,26
HINDER SECURED CREDITORS,2907,78702,26
VIOL CITY ORDINANCE - CURFEW,3213,78746,26
HARBORING RUNAWAY CHILD,2005,78753,26
EVADING / FOOT,2723,78749,26
CRIMINAL TRESPASS,2716,78730,26
AGG ASSAULT FAM/DATE VIOLENCE,402,78703,26
FRAUD DESTRUCTION OF A WRITING,1007,78748,26
STALKING,2710,78735,26
HINDER SECURED CREDITORS,2907,78753,26
LITTERING,3216,78703,26
WEAPON VIOL - OTHER,1504,78741,25
AGG ASSAULT ON PUBLIC SERVANT,403,78723,25
CHILD ENDANGERMENT- ABANDONMEN,2010,78731,25
VIOL OF COURT ORDER-NON EPO-PO,2008,78729,25
EXPLOSIVE ORDNANCE DISPOSAL,1505,78741,25
ATT AUTO THEFT,701,78704,25
AGG ASSAULT ON PUBLIC SERVANT,403,78758,25
UNLAWFUL CARRYING WEAPON,1500,78735,25
INJ TO ELDERLY   FAM/DATE VIOL,2012,78757,25
THEFT BY EMBEZZLEMENT,1200,78759,25
CRIMINAL MISCHIEF,1400,78664,25
BURGLARY NON RESIDENCE,502,78653,25
GAMBLING,1900,78751,25
HINDER SECURED CREDITORS,2907,78757,25
FORGERY BY MAKING,1003,78717,25
CRIMINAL TRESPASS/IN VEHICLE,2727,78741,25
POSSESSION OF MARIJUANA,1803,78728,25
DOC DISPLAY GUN/DEADLY PUB PLC,2409,78751,25
THEFT OF TRAILER,613,78705,25
INDECENT EXPOSURE,1706,78729,25
THEFT OF LICENSE PLATE,614,78736,25
VIOL CITY ORDINANCE - CURFEW,3213,78751,25
VOCO - ALCOHOL  CONSUMPTION,3211,78757,25
BURGLARY OF COIN-OP MACHINE,602,78754,25
DWI - DRUG RECOGNITION EXPERT,2103,78721,25
FORGERY BY ALTERATION,1001,78748,25
DAMAGE CITY VEHICLE,3832,78759,25
PROWLER,3414,78751,25
AUTO THEFT,700,78728,25
DWI 2ND,2102,78728,25
PROWLER,3414,78759,25
UCW LICENSE PREMISE,1501,78701,25
THEFT-NO SUSPECT/FOLLOWUP,600,78744,25
POSS OF ALCOHOL-AGE 16 & UNDER,2200,78753,25
MONEY LAUNDERING,1301,78719,25
AGG ASSAULT WITH MOTOR VEH,406,78703,25
ROBBERY BY THREAT,305,78722,25
DWI - DRUG RECOGNITION EXPERT,2103,78751,25
TAMPERING WITH EVIDENCE,2903,78704,25
WARRANT ARREST NON TRAFFIC,3442,78742,25
PURSE SNATCHING,606,78758,25
THEFT OF SERVICE,608,78730,25
ASSAULT WITH INJURY,900,78730,25
THEFT BY FALSE PRETEXT/BUNCO,1102,78753,25
LIQUOR LAW VIOLATION/OTHER,2208,78727,25
VIOL CITY ORDINANCE - WRECKER,3720,78703,25
PROTECTIVE ORDER,3829,78722,25
CRIMINAL MISCHIEF BY ARSON,802,78741,25
DOC FIGHTING,2406,78754,25
DOC UNREASONABLE NOISE,2405,78756,25
DWI 2ND,2102,78613,25
BOMB THREAT,2701,78741,25
POSS CONTROLLED SUB/OTHER,1802,78719,25
FEDERAL VIOL/OTHER,4205,78749,25
FORGERY BY MAKING,1003,78721,25
FORCED SODOMY,1716,78723,25
INVASIVE VISUAL RECORDING,2609,78703,25
RAPE,200,78660,25
INDECENCY WITH CHILD/EXPOSURE,1710,78752,25
PROWLER,3414,78731,25
KIDNAPPING,2800,78745,25
INVASIVE VISUAL RECORDING,2609,78744,25
INDECENCY WITH A CHILD/CONTACT,1709,78703,25
SEXUAL ASSAULT W/ OBJECT,1700,78750,25
FORCED SODOMY,1716,78744,25
INDECENT ASSAULT,1724,78758,25
SEXUAL ASSAULT W/ OBJECT,1700,78731,25
STALKING,2710,78756,25
INJURY TO CHILD,2011,78701,25
BURG OF RES - FAM/DATING ASLT,500,78748,25
INJ TO ELDERLY   FAM/DATE VIOL,2012,78752,25
DOC OFFENSIVE GESTURE,2402,78723,25
INDECENT ASSAULT,1724,78745,25
AGG ASSAULT FAM/DATE VIOLENCE,402,78725,25
PROTECTIVE ORDER,3829,78756,25
DEL CONTROLLED SUB/SYN NARC,1805,78723,25
DWI - CHILD PASSENGER,2108,78724,25
FRAUD-CARD SKIMMER,1112,78704,25
RESISTING ARREST OR SEARCH,905,78617,25
CHILD CUSTODY INTERFERE,2001,78725,25
AGG RAPE,202,78723,24
INDECENCY WITH A CHILD/CONTACT,1709,78746,24
HARBORING RUNAWAY CHILD,2005,78744,24
ASSAULT  CONTACT-SEXUAL NATURE,902,78703,24
INDECENCY WITH A CHILD/CONTACT,1709,78731,24
INVASIVE VISUAL RECORDING,2609,78723,24
UNLAWFUL RESTRAINT,2805,78701,24
PUBLIC LEWDNESS,1705,78744,24
ONLINE IMPERSONATION,2733,78727,24
PROWLER,3414,78753,24
INJURY TO ELDERLY PERSON,2012,78759,24
DOC EXPOSURE,2411,78750,24
VIOL OF BOND CONDITIONS,3006,78741,24
CRIMINAL MISCHIEF-NO SUSPECT,1400,78705,24
PROBATION VIOL,3114,78701,24
DEADLY CONDUCT,408,78660,24
CHILD CUSTODY INTERFERE,2001,78756,24
INJ TO ELDERLY   FAM/DATE VIOL,2012,78748,24
AGG ROBBERY BY ASSAULT,302,78704,24
URINATING IN PUBLIC PLACE,3212,78746,24
POSS OF ALCOHOL-AGE 16 & UNDER,2200,78758,24
ROBBERY BY THREAT,305,78727,24
ASSAULT BY THREAT,901,78742,24
DWI - CHILD PASSENGER,2108,78701,24
GAMBLING,1900,78752,24
PURSE SNATCHING,606,78741,24
FRAUD-CARD SKIMMER,1112,78753,24
CRASH/INTOXICATION ASSAULT,2105,78745,24
VIOL TEMP EX PARTE  ORDER,3007,78745,24
PAROLE VIOL,3113,78751,24
DEADLY CONDUCT,408,78735,24
DOC FIGHTING,2406,78749,24
BURGLARY OF VEHICLE,601,78732,24
POCKET PICKING,605,78746,24
TOBACCO VIOL - AGE 17,2608,78744,24
TOBACCO VIOL - UNDER AGE 17,2607,78721,24
INJ TO DISABLED  FAM/DATE VIOL,2013,78745,24
DWI - DRUG RECOGNITION EXPERT,2103,78749,24
MAKING TOBACCO AVAIL TO MINOR,2606,78745,24
THEFT-NO SUSPECT/FOLLOWUP,600,78746,24
CRUELTY TO ANIMALS,2717,78756,24
BURGLARY OF COIN-OP MACHINE,602,78746,24
DAMAGE CITY PROP,3817,78747,24
RETALIATION,3104,78724,24
THEFT- APPROPRIATE STOLEN PROP,1300,78753,24
ATT AUTO THEFT,701,78741,24
ONLINE IMPERSONATION,2733,78705,24
INJ TO DISABLED  FAM/DATE VIOL,2013,78758,24
TAMPERING WITH EVIDENCE,2903,78758,24
FORGERY OF IDENTIFICATION,1004,78741,24
GRAFFITI,1402,78726,24
THEFT OF LICENSE PLATE,614,78739,24
ATT BURGLARY OF RESIDENCE,501,78704,24
INJURY TO ELDERLY PERSON,2012,78751,24
ASSAULT W/INJURY-FAM/DATE VIOL,900,78664,24
EXPLOSIVE ORDNANCE DISPOSAL,1505,78613,24
FORGERY AND PASSING,1000,78730,24
DUI - AGE 17 TO 20,2107,78757,24
CRASH/INTOXICATION ASSAULT,2105,78704,24
IMMIGRATION HOLD/ARREST,4200,78752,24
FORGERY AND PASSING,1000,78725,24
PROTECTIVE ORDER,3829,78739,24
PIGEON DROP,1198,78745,24
HARASSMENT,2703,78712,23
THEFT OF SERVICE,608,78728,23
ASSAULT ON PUBLIC SERVANT,903,78731,23
DWI - DRUG RECOGNITION EXPERT,2103,78724,23
FRAUD-CARD SKIMMER,1112,78729,23
RECKLESS DAMAGE,1401,78727,23
BURGLARY NON RESIDENCE,502,78728,23
UNLAWFUL CARRYING WEAPON,1500,78617,23
FAILURE TO IDENTIFY,2707,78747,23
AGG ASLT ENHANC STRANGL/SUFFOC,411,78757,23
CRIMINAL TRESPASS/HOTEL,2722,78702,23
RAPE OF A CHILD,204,78750,23
INVASIVE VISUAL RECORDING,2609,78757,23
ASSAULT  CONTACT-SEXUAL NATURE,902,78721,23
AGG SEXUAL ASSAULT CHILD/OBJEC,1712,78754,23
RAPE OF A CHILD,204,78748,23
SEXUAL ASSAULT OF CHILD/OBJECT,1707,78735,23
UNLAWFUL RESTRAINT,2805,78758,23
FAILURE TO REG AS SEX OFFENDER,1799,78751,23
INDECENT ASSAULT,1724,78704,23
SEXUAL ASSAULT W/ OBJECT,1700,78756,23
POSS/PROMO CHILD PORNOGRAPHY,2605,78702,23
KIDNAPPING,2800,78744,23
ASSAULT BY THREAT FAM/DATING,901,78726,23
ASSAULT OF PREGNANT WM-FAM/DAT,911,78753,23
ASSAULT ON PUBLIC SERVANT,903,78724,23
UNLAWFUL CARRYING WEAPON,1500,78717,23
FAILURE TO IDENTIFY,2707,78735,23
THEFT OF TRAILER,613,78617,23
CRASH/INTOXICATION ASSAULT,2105,78753,23
THEFT CATALYTIC CONVERTER,620,78726,23
INJURY DISABLED INDIVIDUAL,2013,78744,23
DOC DISCHARGE GUN - PUB PLACE,2408,78754,23
DOC ABUSE OR THREAT,2404,78741,23
DUI - AGE 17 TO 20,2107,78750,23
UNLAWFUL CARRYING WEAPON,1500,78756,23
INJURY TO CHILD,2011,78747,23
POSS CONTROLLED SUB/OTHER,1802,78729,23
BURGLARY OF COIN-OP MACHINE,602,78750,23
ONLINE IMPERSONATION,2733,78703,23
THEFT OF HEAVY EQUIPMENT,612,78745,23
THEFT OF HEAVY EQUIPMENT,612,78702,23
EVADING / FOOT,2723,78754,23
MANF CONTROLLED SUB - OTHER,1820,78702,23
INJURY TO CHILD,2011,78754,23
THEFT FROM BUILDING,617,78660,23
THEFT- APPROPRIATE STOLEN PROP,1300,78723,23
DUMPING REFUSE NEAR HIGHWAY,3306,78748,23
